Splitting,POS,DEP,POS AND DEP,POS AND SEM,DEP AND SEM,POS DEP AND SEM,NC Splitting,NC POS,NC Dep,NC POS AND DEP,NC POS AND SEM,NC DEP AND SEM,NC POS DEP AND SEM,problematic,type,project,lapd
private void check popup mouse event e,private void check NN popup NN mouse NN event NN e SYM,private void check popup root ROOT popup compound popup check mouse event root ROOT event compound event mouse e,private void check NN popup NN mouse NN event NN e SYM private void check popup root ROOT popup compound popup check mouse event root ROOT event compound event mouse e,private void check NN popup NN mouse NN event NN e SYM,private void check popup root ROOT popup compound popup check mouse event root ROOT event compound event mouse e,private void check NN popup NN mouse NN event NN e SYM private void check popup root ROOT popup compound popup check mouse event root ROOT event compound event mouse e,private void check popup mouse event e,private void check NN popup NN mouse NN event NN e SYM,private void check popup root ROOT popup compound popup check mouse event root ROOT event compound event mouse e,private void check NN popup NN mouse NN event NN e SYM private void check popup root ROOT popup compound popup check mouse event root ROOT event compound event mouse e,private void check NN popup NN mouse NN event NN e SYM,private void check popup root ROOT popup compound popup check mouse event root ROOT event compound event mouse e,private void check NN popup NN mouse NN event NN e SYM private void check popup root ROOT popup compound popup check mouse event root ROOT event compound event mouse e,1,b2,tomcat,TP
protected void has property properties properties string name,protected void has VBZ property NN properties NNS properties NNS string NN name NN,protected void has property root ROOT has dobj has property properties properties string name,protected void has VBZ property NN properties NNS properties NNS string NN name NN protected void has property root ROOT has dobj has property properties properties string name,protected void has VBZ property NN properties NNS properties NNS string NN name NN,protected void has property root ROOT has dobj has property properties properties string name,protected void has VBZ property NN properties NNS properties NNS string NN name NN protected void has property root ROOT has dobj has property properties properties string name,protected void has property properties properties string name,protected void has VBZ property NN properties NNS properties NNS string NN name NN,protected void has property root ROOT has dobj has property properties properties string name,protected void has VBZ property NN properties NNS properties NNS string NN name NN protected void has property root ROOT has dobj has property properties properties string name,protected void has VBZ property NN properties NNS properties NNS string NN name NN,protected void has property root ROOT has dobj has property properties properties string name,protected void has VBZ property NN properties NNS properties NNS string NN name NN protected void has property root ROOT has dobj has property properties properties string name,1,b4,tomcat,TP
public void has should be false for a new array,public void has VBZ should MD be VB false JJ for IN a DT new JJ array NN,public void has should be false for a new array root ROOT false aux false has aux false should cop false be case array for det array a amod array new nmod for false array,public void has VBZ should MD be VB false JJ for IN a DT new JJ array NN public void has should be false for a new array root ROOT false aux false has aux false should cop false be case array for det array a amod array new nmod for false array,public void has VBZ should MD be VB false JJ for IN a DT new JJ array NN,public void has should be false for a new array root ROOT false aux false has aux false should cop false be case array for det array a amod array new nmod for false array,public void has VBZ should MD be VB false JJ for IN a DT new JJ array NN public void has should be false for a new array root ROOT false aux false has aux false should cop false be case array for det array a amod array new nmod for false array,public void has should be false for a new array,public void has VBZ should MD be VB false JJ for IN a DT new JJ array NN,public void has should be false for a new array root ROOT false aux false has aux false should cop false be case array for det array a amod array new nmod for false array,public void has VBZ should MD be VB false JJ for IN a DT new JJ array NN public void has should be false for a new array root ROOT false aux false has aux false should cop false be case array for det array a amod array new nmod for false array,public void has VBZ should MD be VB false JJ for IN a DT new JJ array NN,public void has should be false for a new array root ROOT false aux false has aux false should cop false be case array for det array a amod array new nmod for false array,public void has VBZ should MD be VB false JJ for IN a DT new JJ array NN public void has should be false for a new array root ROOT false aux false has aux false should cop false be case array for det array a amod array new nmod for false array,1,b4,rhino,TP
private void to exponential format int first digit int dec point,private void to TO exponential JJ format NN int first RB digit NN int dec NN point NN,private void to exponential format root ROOT format case format to amod format exponential int first digit root ROOT digit advmod digit first int dec point root ROOT point compound point dec,private void to TO exponential JJ format NN int first RB digit NN int dec NN point NN private void to exponential format root ROOT format case format to amod format exponential int first digit root ROOT digit advmod digit first int dec point root ROOT point compound point dec,private void to TO exponential JJ format NN int first RB digit NN int dec NN point NN,private void to exponential format root ROOT format case format to amod format exponential int first digit root ROOT digit advmod digit first int dec point root ROOT point compound point dec,private void to TO exponential JJ format NN int first RB digit NN int dec NN point NN private void to exponential format root ROOT format case format to amod format exponential int first digit root ROOT digit advmod digit first int dec point root ROOT point compound point dec,private void to exponential format int first digit int dec point,private void to TO exponential JJ format NN int first RB digit NN int dec NN point NN,private void to exponential format root ROOT format case format to amod format exponential int first digit root ROOT digit advmod digit first int dec point root ROOT point compound point dec,private void to TO exponential JJ format NN int first RB digit NN int dec NN point NN private void to exponential format root ROOT format case format to amod format exponential int first digit root ROOT digit advmod digit first int dec point root ROOT point compound point dec,private void to TO exponential JJ format NN int first RB digit NN int dec NN point NN,private void to exponential format root ROOT format case format to amod format exponential int first digit root ROOT digit advmod digit first int dec point root ROOT point compound point dec,private void to TO exponential JJ format NN int first RB digit NN int dec NN point NN private void to exponential format root ROOT format case format to amod format exponential int first digit root ROOT digit advmod digit first int dec point root ROOT point compound point dec,1,b5,rhino,TP
final int get attributes int id,final int get VB attributes NNS int id NN,final int get attributes root ROOT get dobj get attributes int id,final int get VB attributes NNS int id NN final int get attributes root ROOT get dobj get attributes int id,final int get VB attributes NNS int id NN,final int get attributes root ROOT get dobj get attributes int id,final int get VB attributes NNS int id NN final int get attributes root ROOT get dobj get attributes int id,final int get attributes int id,final int get VB attributes NNS int id NN,final int get attributes root ROOT get dobj get attributes int id,final int get VB attributes NNS int id NN final int get attributes root ROOT get dobj get attributes int id,final int get VB attributes NNS int id NN,final int get attributes root ROOT get dobj get attributes int id,final int get VB attributes NNS int id NN final int get attributes root ROOT get dobj get attributes int id,1,b6,rhino,TP
public int get attributes string name,public int get VB attributes NNS string NN name NN,public int get attributes root ROOT get dobj get attributes string name,public int get VB attributes NNS string NN name NN public int get attributes root ROOT get dobj get attributes string name,public int get VB attributes NNS string NN name NN,public int get attributes root ROOT get dobj get attributes string name,public int get VB attributes NNS string NN name NN public int get attributes root ROOT get dobj get attributes string name,public int get attributes string name,public int get VB attributes NNS string NN name NN,public int get attributes root ROOT get dobj get attributes string name,public int get VB attributes NNS string NN name NN public int get attributes root ROOT get dobj get attributes string name,public int get VB attributes NNS string NN name NN,public int get attributes root ROOT get dobj get attributes string name,public int get VB attributes NNS string NN name NN public int get attributes root ROOT get dobj get attributes string name,1,b6,maven,TP
private byte name null,private byte name NN null JJ,private byte name null,private byte name NN null JJ private byte name null,private byte name NN null JJ,private byte name null,private byte name NN null JJ private byte name null,private byte name null,private byte name NN null JJ,private byte name null,private byte name NN null JJ private byte name null,private byte name NN null JJ,private byte name null,private byte name NN null JJ private byte name null,1,d1,maven,TP
private static final list string empty string collections empty list,private static final list NN string NN empty JJ string NN collections NNS empty JJ list NN,private static final list string empty string root ROOT string amod string empty collections empty list root ROOT list compound list collections amod list empty,private static final list NN string NN empty JJ string NN collections NNS empty JJ list NN private static final list string empty string root ROOT string amod string empty collections empty list root ROOT list compound list collections amod list empty,private static final list NN string NN empty JJ string NN collections NNS empty JJ list NN,private static final list string empty string root ROOT string amod string empty collections empty list root ROOT list compound list collections amod list empty,private static final list NN string NN empty JJ string NN collections NNS empty JJ list NN private static final list string empty string root ROOT string amod string empty collections empty list root ROOT list compound list collections amod list empty,private static final list string empty string collections empty list,private static final list NN string NN empty JJ string NN collections NNS empty JJ list NN,private static final list string empty string root ROOT string amod string empty collections empty list root ROOT list compound list collections amod list empty,private static final list NN string NN empty JJ string NN collections NNS empty JJ list NN private static final list string empty string root ROOT string amod string empty collections empty list root ROOT list compound list collections amod list empty,private static final list NN string NN empty JJ string NN collections NNS empty JJ list NN,private static final list string empty string root ROOT string amod string empty collections empty list root ROOT list compound list collections amod list empty,private static final list NN string NN empty JJ string NN collections NNS empty JJ list NN private static final list string empty string root ROOT string amod string empty collections empty list root ROOT list compound list collections amod list empty,1,d1,maven,TP
string is strict org apache maven artifact repository metadata io is strict,string NN is VBZ strict JJ org NN apache NN maven NN artifact NN repository JJ metadata NN io NN is VBZ strict JJ,string is strict root ROOT strict cop strict is org apache maven artifact repository metadata io is strict root ROOT strict compound io org compound io apache compound io maven compound io artifact amod io repository compound io metadata nsubj strict io cop strict is,string NN is VBZ strict JJ org NN apache NN maven NN artifact NN repository JJ metadata NN io NN is VBZ strict JJ string is strict root ROOT strict cop strict is org apache maven artifact repository metadata io is strict root ROOT strict compound io org compound io apache compound io maven compound io artifact amod io repository compound io metadata nsubj strict io cop strict is,string NN is VBZ strict JJ org NN apache NN maven NN artifact NN repository JJ metadata NN io NN is VBZ strict JJ,string is strict root ROOT strict cop strict is org apache maven artifact repository metadata io is strict root ROOT strict compound io org compound io apache compound io maven compound io artifact amod io repository compound io metadata nsubj strict io cop strict is,string NN is VBZ strict JJ org NN apache NN maven NN artifact NN repository JJ metadata NN io NN is VBZ strict JJ string is strict root ROOT strict cop strict is org apache maven artifact repository metadata io is strict root ROOT strict compound io org compound io apache compound io maven compound io artifact amod io repository compound io metadata nsubj strict io cop strict is,string is strict org apache maven artifact repository metadata io is strict,string NN is VBZ strict JJ org NN apache NN maven NN artifact NN repository JJ metadata NN io NN is VBZ strict JJ,string is strict root ROOT strict cop strict is org apache maven artifact repository metadata io is strict root ROOT strict compound io org compound io apache compound io maven compound io artifact amod io repository compound io metadata nsubj strict io cop strict is,string NN is VBZ strict JJ org NN apache NN maven NN artifact NN repository JJ metadata NN io NN is VBZ strict JJ string is strict root ROOT strict cop strict is org apache maven artifact repository metadata io is strict root ROOT strict compound io org compound io apache compound io maven compound io artifact amod io repository compound io metadata nsubj strict io cop strict is,string NN is VBZ strict JJ org NN apache NN maven NN artifact NN repository JJ metadata NN io NN is VBZ strict JJ,string is strict root ROOT strict cop strict is org apache maven artifact repository metadata io is strict root ROOT strict compound io org compound io apache compound io maven compound io artifact amod io repository compound io metadata nsubj strict io cop strict is,string NN is VBZ strict JJ org NN apache NN maven NN artifact NN repository JJ metadata NN io NN is VBZ strict JJ string is strict root ROOT strict cop strict is org apache maven artifact repository metadata io is strict root ROOT strict compound io org compound io apache compound io maven compound io artifact amod io repository compound io metadata nsubj strict io cop strict is,1,d2,maven,TP
private short its flags,private short its PRP$ flags NNS,private short its flags root ROOT flags nmod poss flags its,private short its PRP$ flags NNS private short its flags root ROOT flags nmod poss flags its,private short its PRP$ flags NNS,private short its flags root ROOT flags nmod poss flags its,private short its PRP$ flags NNS private short its flags root ROOT flags nmod poss flags its,private short its flags,private short its PRP$ flags NNS,private short its flags root ROOT flags nmod poss flags its,private short its PRP$ flags NNS private short its flags root ROOT flags nmod poss flags its,private short its PRP$ flags NNS,private short its flags root ROOT flags nmod poss flags its,private short its PRP$ flags NNS private short its flags root ROOT flags nmod poss flags its,1,e1,junit,TP
private final boolean classes,private final boolean classes NNS,private final boolean classes,private final boolean classes NNS private final boolean classes,private final boolean classes NNS,private final boolean classes,private final boolean classes NNS private final boolean classes,private final boolean classes,private final boolean classes NNS,private final boolean classes,private final boolean classes NNS private final boolean classes,private final boolean classes NNS,private final boolean classes,private final boolean classes NNS private final boolean classes,1,e1,junit,TP
private final boolean methods,private final boolean methods NNS,private final boolean methods,private final boolean methods NNS private final boolean methods,private final boolean methods NNS,private final boolean methods,private final boolean methods NNS private final boolean methods,private final boolean methods,private final boolean methods NNS,private final boolean methods,private final boolean methods NNS private final boolean methods,private final boolean methods NNS,private final boolean methods,private final boolean methods NNS private final boolean methods,1,e1,junit,TP
private int successes,private int successes NNS,private int successes,private int successes NNS private int successes,private int successes NNS,private int successes,private int successes NNS private int successes,private int successes,private int successes NNS,private int successes,private int successes NNS private int successes,private int successes NNS,private int successes,private int successes NNS private int successes,1,e1,junit,TP
private final string args,private final string NN args NNS,private final string args,private final string NN args NNS private final string args,private final string NN args NNS,private final string args,private final string NN args NNS private final string args,private final string args,private final string NN args NNS,private final string args,private final string NN args NNS private final string args,private final string NN args NNS,private final string args,private final string NN args NNS private final string args,1,e1,tomcat,TP
will children be started automatically when they are added protected boolean start children true,will children be started automatically when they are added protected boolean start VB children NNS true JJ,will children be started automatically when they are added root ROOT started aux started will nsubjpass started children auxpass started be advmod started automatically advmod added when nsubjpass added they auxpass added are advcl started added protected boolean start children root ROOT start dobj start children true,will children be started automatically when they are added protected boolean start VB children NNS true JJ will children be started automatically when they are added root ROOT started aux started will nsubjpass started children auxpass started be advmod started automatically advmod added when nsubjpass added they auxpass added are advcl started added protected boolean start children root ROOT start dobj start children true,will children be started automatically when they are added protected boolean start VB children NNS true JJ added started ANTONYM ANTONYM,will children be started automatically when they are added root ROOT started aux started will nsubjpass started children auxpass started be advmod started automatically advmod added when nsubjpass added they auxpass added are advcl started added protected boolean start children root ROOT start dobj start children true added started ANTONYM ANTONYM,will children be started automatically when they are added protected boolean start VB children NNS true JJ will children be started automatically when they are added root ROOT started aux started will nsubjpass started children auxpass started be advmod started automatically advmod added when nsubjpass added they auxpass added are advcl started added protected boolean start children root ROOT start dobj start children true added started ANTONYM ANTONYM,will children be started automatically when they are added protected boolean start children true,will children be started automatically when they are added protected boolean start VB children NNS true JJ,will children be started automatically when they are added root ROOT started aux started will nsubjpass started children auxpass started be advmod started automatically advmod added when nsubjpass added they auxpass added are advcl started added protected boolean start children root ROOT start dobj start children true,will children be started automatically when they are added protected boolean start VB children NNS true JJ will children be started automatically when they are added root ROOT started aux started will nsubjpass started children auxpass started be advmod started automatically advmod added when nsubjpass added they auxpass added are advcl started added protected boolean start children root ROOT start dobj start children true,will children be started automatically when they are added protected boolean start VB children NNS true JJ added started ANTONYM ANTONYM,will children be started automatically when they are added root ROOT started aux started will nsubjpass started children auxpass started be advmod started automatically advmod added when nsubjpass added they auxpass added are advcl started added protected boolean start children root ROOT start dobj start children true added started ANTONYM ANTONYM,will children be started automatically when they are added protected boolean start VB children NNS true JJ will children be started automatically when they are added root ROOT started aux started will nsubjpass started children auxpass started be advmod started automatically advmod added when nsubjpass added they auxpass added are advcl started added protected boolean start children root ROOT start dobj start children true added started ANTONYM ANTONYM,0,NA,tomcat,TN
sets function name and sets its parent to this node param name function name code null for anonymous functions public void set function name name name,sets function name and sets its parent to this node param name function name code null for anonymous functions public void set NN function NN name NN name NN name NN,sets function name and sets its parent to this node root ROOT function nsubj function sets nsubj sets sets dobj function name cc function and conj and function sets nmod poss parent its dobj sets parent case node to det node this nmod to sets node param name function name code null for anonymous functions root ROOT null compound null param compound null name compound null function compound null name compound null code case functions for amod functions anonymous nmod for null functions public void set function name root ROOT name compound name set compound name function name name,sets function name and sets its parent to this node param name function name code null for anonymous functions public void set NN function NN name NN name NN name NN sets function name and sets its parent to this node root ROOT function nsubj function sets nsubj sets sets dobj function name cc function and conj and function sets nmod poss parent its dobj sets parent case node to det node this nmod to sets node param name function name code null for anonymous functions root ROOT null compound null param compound null name compound null function compound null name compound null code case functions for amod functions anonymous nmod for null functions public void set function name root ROOT name compound name set compound name function name name,sets function name and sets its parent to this node param name function name code null for anonymous functions public void set NN function NN name NN name NN name NN name parent ANTONYM ANTONYM,sets function name and sets its parent to this node root ROOT function nsubj function sets nsubj sets sets dobj function name cc function and conj and function sets nmod poss parent its dobj sets parent case node to det node this nmod to sets node param name function name code null for anonymous functions root ROOT null compound null param compound null name compound null function compound null name compound null code case functions for amod functions anonymous nmod for null functions public void set function name root ROOT name compound name set compound name function name name name parent ANTONYM ANTONYM,sets function name and sets its parent to this node param name function name code null for anonymous functions public void set NN function NN name NN name NN name NN sets function name and sets its parent to this node root ROOT function nsubj function sets nsubj sets sets dobj function name cc function and conj and function sets nmod poss parent its dobj sets parent case node to det node this nmod to sets node param name function name code null for anonymous functions root ROOT null compound null param compound null name compound null function compound null name compound null code case functions for amod functions anonymous nmod for null functions public void set function name root ROOT name compound name set compound name function name name name parent ANTONYM ANTONYM,sets function name and sets its parent to this node param name function name code null for anonymous functions public void set function name name name,sets function name and sets its parent to this node param name function name code null for anonymous functions public void set NN function NN name NN name NN name NN,sets function name and sets its parent to this node root ROOT function nsubj function sets nsubj sets sets dobj function name cc function and conj and function sets nmod poss parent its dobj sets parent case node to det node this nmod to sets node param name function name code null for anonymous functions root ROOT null compound null param compound null name compound null function compound null name compound null code case functions for amod functions anonymous nmod for null functions public void set function name root ROOT name compound name set compound name function name name,sets function name and sets its parent to this node param name function name code null for anonymous functions public void set NN function NN name NN name NN name NN sets function name and sets its parent to this node root ROOT function nsubj function sets nsubj sets sets dobj function name cc function and conj and function sets nmod poss parent its dobj sets parent case node to det node this nmod to sets node param name function name code null for anonymous functions root ROOT null compound null param compound null name compound null function compound null name compound null code case functions for amod functions anonymous nmod for null functions public void set function name root ROOT name compound name set compound name function name name,sets function name and sets its parent to this node param name function name code null for anonymous functions public void set NN function NN name NN name NN name NN name parent ANTONYM ANTONYM,sets function name and sets its parent to this node root ROOT function nsubj function sets nsubj sets sets dobj function name cc function and conj and function sets nmod poss parent its dobj sets parent case node to det node this nmod to sets node param name function name code null for anonymous functions root ROOT null compound null param compound null name compound null function compound null name compound null code case functions for amod functions anonymous nmod for null functions public void set function name root ROOT name compound name set compound name function name name name parent ANTONYM ANTONYM,sets function name and sets its parent to this node param name function name code null for anonymous functions public void set NN function NN name NN name NN name NN sets function name and sets its parent to this node root ROOT function nsubj function sets nsubj sets sets dobj function name cc function and conj and function sets nmod poss parent its dobj sets parent case node to det node this nmod to sets node param name function name code null for anonymous functions root ROOT null compound null param compound null name compound null function compound null name compound null code case functions for amod functions anonymous nmod for null functions public void set function name root ROOT name compound name set compound name function name name name parent ANTONYM ANTONYM,0,NA,rhino,TN
public name get function name,public name NN get VB function NN name NN,public name get function name root ROOT get compound name function dobj get name,public name NN get VB function NN name NN public name get function name root ROOT get compound name function dobj get name,public name NN get VB function NN name NN,public name get function name root ROOT get compound name function dobj get name,public name NN get VB function NN name NN public name get function name root ROOT get compound name function dobj get name,public name get function name,public name NN get VB function NN name NN,public name get function name root ROOT get compound name function dobj get name,public name NN get VB function NN name NN public name get function name root ROOT get compound name function dobj get name,public name NN get VB function NN name NN,public name get function name root ROOT get compound name function dobj get name,public name NN get VB function NN name NN public name get function name root ROOT get compound name function dobj get name,0,NA,rhino,TN
private list ast node params,private list NN ast IN node NN params NNS,private list ast node root ROOT node case node ast params,private list NN ast IN node NN params NNS private list ast node root ROOT node case node ast params,private list NN ast IN node NN params NNS,private list ast node root ROOT node case node ast params,private list NN ast IN node NN params NNS private list ast node root ROOT node case node ast params,private list ast node params,private list NN ast IN node NN params NNS,private list ast node root ROOT node case node ast params,private list NN ast IN node NN params NNS private list ast node root ROOT node case node ast params,private list NN ast IN node NN params NNS,private list ast node root ROOT node case node ast params,private list NN ast IN node NN params NNS private list ast node root ROOT node case node ast params,0,NA,tomcat,TN
private boolean is generator,private boolean is VBZ generator NN,private boolean is generator root ROOT generator cop generator is,private boolean is VBZ generator NN private boolean is generator root ROOT generator cop generator is,private boolean is VBZ generator NN,private boolean is generator root ROOT generator cop generator is,private boolean is VBZ generator NN private boolean is generator root ROOT generator cop generator is,private boolean is generator,private boolean is VBZ generator NN,private boolean is generator root ROOT generator cop generator is,private boolean is VBZ generator NN private boolean is generator root ROOT generator cop generator is,private boolean is VBZ generator NN,private boolean is generator root ROOT generator cop generator is,private boolean is VBZ generator NN private boolean is generator root ROOT generator cop generator is,0,NA,rhino,TN
